case,patch_index,patch_kind,candidate_state,action,context_test,skip_context,mask_embedding_context,probability_mse,logits_mse,predicted_mask_dice_vs_real,predicted_mask_iou_vs_real,mean_absolute_probability_error
HEM_PA97.nii.gz,2,foreground,final_decoder_feature,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,3,context_fill,final_decoder_stage_input,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,7.861935885445327e-28,1.2098371982574463,1.0,0.0,6.707941371113279e-16
HEM_PA97.nii.gz,3,context_fill,final_decoder_stage_input,gamma,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,0.0,0.0
HEM_PA97.nii.gz,3,context_fill,final_decoder_feature,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,7.861935885445327e-28,1.2098371982574463,1.0,0.0,6.707941371113279e-16
HEM_PA97.nii.gz,3,context_fill,final_decoder_feature,gamma,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,0.0,0.0
HEM_PA97.nii.gz,3,context_fill,final_decoder_stage_input,blur,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,0.00095325184520334,856.2476196289062,0.9226711788143324,0.8564434188244172,0.0028987941332161427
HEM_PA97.nii.gz,3,context_fill,final_decoder_stage_input,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,3,context_fill,final_decoder_feature,blur,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,0.00095325184520334,856.2476196289062,0.9226711788143324,0.8564434188244172,0.0028987941332161427
HEM_PA97.nii.gz,3,context_fill,final_decoder_feature,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
CYST_PA69.nii.gz,0,context,final_decoder_stage_input,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,5.704360462647762e-31,0.06235281750559807,1.0,0.0,1.5776761229303468e-17
