candidate_state,case,scope,method,patch_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,foreground,pairwise_world_stability,4,0.8505119091852803,0.10662534821872059,0.7034712568847822,0.9363187673107322,0.24898168472463775,case_patch_macro
decoder_stage_1_low_to_high,HCC_10140276_20170721.nii.gz,overall,pairwise_world_stability,4,0.9952379862467448,0.49999992744299065,0.907213988481521,0.9991925671949133,0.10100301970899164,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,background,blur_joint_product,4,0.997797388840928,0.311370934831067,0.9594913478079647,0.9996786865760766,0.07469310711150334,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,foreground,blur_joint_product,4,0.8505119091852803,0.017992572215483373,0.6790692222512091,0.929281203243478,0.2185944386411033,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,overall,blur_joint_product,4,0.9952379862467448,0.3061055699358616,0.9558191383299574,0.9996472242277572,0.11481373388480393,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,background,blur_world_stability,4,0.997797388840928,0.5081135219386467,0.9571524496362736,0.9996627248728834,0.07664029321617932,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,foreground,blur_world_stability,4,0.8505119091852803,0.04313364387469279,0.4979033421479793,0.8750532381541595,-0.00514738129639393,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,overall,blur_world_stability,4,0.9952379862467448,0.49999993731952413,0.9534805511355995,0.9996089633343432,0.11619380479363861,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,background,confidence_rank,4,0.997797388840928,0.5062044328612767,0.9044484960973063,0.9991910236214459,0.059445549583234475,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,foreground,confidence_rank,4,0.8505119091852803,0.14935401792967765,0.818433847391841,0.9631784528374229,0.3927948207590195,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,overall,confidence_rank,4,0.9952379862467448,0.5000000768110949,0.9065246993598425,0.9991720530047172,0.10036808156844357,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,background,gamma_joint_product,4,0.997797388840928,0.3083473815304731,0.9170179945950546,0.999327456905504,0.06360094838484165,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,foreground,gamma_joint_product,4,0.8505119091852803,0.10912332128693868,0.8274923174965777,0.9657087661232553,0.4034680179604426,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,overall,gamma_joint_product,4,0.9952379862467448,0.304681683558824,0.920555807372339,0.9993087194448664,0.10463533022674823,case_patch_macro
final_decoder_feature,HCC_10140276_20170721.nii.gz,background,gamma_world_stability,4,0.997797388840928,0.5044690991419775,0.8929172055672734,0.9992480980731587,0.06586558048748048,case_patch_macro
