case,patch_index,patch_kind,candidate_state,action,state_shape,channels,spatial_resolution,tensor_memory_mb,normalized_mse,delta_rms,delta_l2_norm,relative_delta_norm,relative_delta_norm_valid,gamma_vs_blur_delta_cosine,gamma_vs_blur_delta_cosine_valid,state_variance,delta_variance
HEM_PA97.nii.gz,3,context_fill,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,1.2345815896987915,1.0197772979736328,20755.490234375,0.7076436877250671,True,-0.3837028443813324,True,1.9720832109451294,1.0315325260162354
HEM_PA97.nii.gz,3,context_fill,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.0032995431683957577,0.04044865071773529,598.5817260742188,0.05677547678351402,True,-0.07464525103569031,True,0.31705155968666077,0.0016356240957975388
HEM_PA97.nii.gz,3,context_fill,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.15504969656467438,0.26979902386665344,3990.61962890625,0.3785102665424347,True,-0.07464525103569031,True,0.31705155968666077,0.07241106033325195
CYST_PA69.nii.gz,0,context,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.0076787956058979034,0.1917967051267624,382.70172119140625,0.0879393219947815,True,-0.23069043457508087,True,4.710507869720459,0.03678569570183754
CYST_PA69.nii.gz,0,context,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.03652535751461983,0.4149502217769623,827.956787109375,0.19025249779224396,True,-0.23069043457508087,True,4.710507869720459,0.17218296229839325
CYST_PA69.nii.gz,0,context,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.0016975704347714782,0.16221478581428528,1492.0921630859375,0.04129940643906593,True,-0.4352475702762604,True,15.215374946594238,0.026296284049749374
CYST_PA69.nii.gz,0,context,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.003564414568245411,0.23316213488578796,2142.759033203125,0.05930912122130394,True,-0.4352475702762604,True,15.215374946594238,0.054357461631298065
CYST_PA69.nii.gz,0,context,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.0028480300679802895,0.07858096063137054,1633.2459716796875,0.05421376973390579,True,-0.28447937965393066,True,2.0654640197753906,0.006171330343931913
CYST_PA69.nii.gz,0,context,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.01849178597331047,0.19750189781188965,4170.17626953125,0.1384243369102478,True,-0.28447937965393066,True,2.0654640197753906,0.039003681391477585
CYST_PA69.nii.gz,0,context,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.0028058034367859364,0.03731121867895126,550.0820922851562,0.05210466682910919,True,-0.19446368515491486,True,0.3180859684944153,0.0013920677592977881
CYST_PA69.nii.gz,0,context,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.020462380722165108,0.10092718154191971,1490.7244873046875,0.141203835606575,True,-0.19446368515491486,True,0.3180859684944153,0.01018453948199749
