method,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
real_stage_gamma_joint_product,HEM_PA89.nii.gz,foreground,4,3,0.5834142349332484,0.26072595864464154,0.30138679696934645,0.4978062730624003,-0.3400461163978586,case_patch_macro
real_stage_gamma_joint_product,HEM_PA89.nii.gz,overall,4,4,0.9830367476851851,0.28702461754569614,0.6165658310581988,0.9817783421811662,0.029184068715982562,case_patch_macro
real_stage_gamma_world_stability,HEM_PA89.nii.gz,background,4,4,0.9948469758558648,0.50193068859485,0.8291061346845687,0.9952577256881504,0.08057578113059194,case_patch_macro
real_stage_gamma_world_stability,HEM_PA89.nii.gz,foreground,4,3,0.5834142349332484,0.4333360130236052,0.30649014286986587,0.5043334037512529,-0.33137812598690825,case_patch_macro
real_stage_gamma_world_stability,HEM_PA89.nii.gz,overall,4,4,0.9830367476851851,0.4999638310422328,0.6175339622847402,0.9815415735124484,0.029806723779770304,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA89.nii.gz,background,4,4,0.9948469758558648,0.2865166509911943,0.9212298431068202,0.9987935160950288,0.10408261148350087,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA89.nii.gz,foreground,4,3,0.5834142349332484,0.2555678102469087,0.2922464451436241,0.4675617742732594,-0.3549961644837287,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA89.nii.gz,overall,4,4,0.9830367476851851,0.28546913368159155,0.6397001314667625,0.9838670350709816,0.03783883962015461,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA89.nii.gz,background,4,4,0.9948469758558648,0.5019742777330735,0.9275190299441375,0.9988346487320631,0.10566547637603564,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA89.nii.gz,foreground,4,3,0.5834142349332484,0.4284307652695742,0.2907372605704814,0.4670704610579448,-0.3574596722554056,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA89.nii.gz,overall,4,4,0.9830367476851851,0.49996383101636266,0.6419143856083667,0.9839318188049969,0.038926316407121964,case_patch_macro
confidence_rank,HEM_PA101.nii.gz,background,4,2,0.9979453148629001,0.5033040185240155,0.5435890710191386,0.9987380702232115,0.03476155772533898,case_patch_macro
confidence_rank,HEM_PA101.nii.gz,foreground,4,2,0.44701333568132773,0.42049936634175383,0.23227771199109512,0.5428284458235499,-0.4686941029099344,case_patch_macro
confidence_rank,HEM_PA101.nii.gz,overall,4,3,0.9880461516203703,0.5000361760504479,0.495794291858771,0.9874178520285852,-0.010300608214144767,case_patch_macro
real_stage_blur_joint_product,HEM_PA101.nii.gz,background,4,2,0.9979453148629001,0.27336192811961113,0.6928869424519557,0.998982197221887,0.045951639439835455,case_patch_macro
real_stage_blur_joint_product,HEM_PA101.nii.gz,foreground,4,2,0.44701333568132773,0.2546106444064951,0.2526035522262094,0.5724732594098625,-0.3943288126134862,case_patch_macro
real_stage_blur_joint_product,HEM_PA101.nii.gz,overall,4,3,0.9880461516203703,0.27219528532014686,0.45673494357748673,0.9831328293727997,-0.02058292742929187,case_patch_macro
