source,action,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
joint_product,all,HEM_PA81.nii.gz,overall,4,2,0.9859987894694011,0.26165200769901276,0.9546928124380114,0.9993318349383288,0.2598597968370059
joint_product,all,HEM_PA81.nii.gz,foreground,4,2,0.639371583850648,0.004274929407984018,0.34530933345316817,0.5199044931026643,-0.2573127885634975
joint_product,all,HEM_PA81.nii.gz,background,4,2,0.9999344630896274,0.27292321622371674,0.999682954264401,0.999999979214645,0.019815939742826482
confidence_rank,blur,HEM_PA89.nii.gz,background,2,2,0.9951465981169297,0.5099825263023376,0.9968481905923545,0.9999850099367309,0.15386469154066812
confidence_rank,blur,HEM_PA89.nii.gz,foreground,2,1,0.7150203164173943,0.03130000829696655,0.5620743887291978,0.7408617085790787,0.09706647383047813
confidence_rank,blur,HEM_PA89.nii.gz,overall,2,2,0.9894101178204572,0.5000000298023224,0.9896816014651948,0.9998481618597437,0.20207138144997408
confidence_rank,gamma,HEM_PA89.nii.gz,background,2,2,0.9951465981169297,0.5099825263023376,0.9968481905923545,0.9999850099367309,0.15386469154066812
confidence_rank,gamma,HEM_PA89.nii.gz,foreground,2,1,0.7150203164173943,0.03130000829696655,0.5620743887291978,0.7408617085790787,0.09706647383047813
confidence_rank,gamma,HEM_PA89.nii.gz,overall,2,2,0.9894101178204572,0.5000000298023224,0.9896816014651948,0.9998481618597437,0.20207138144997408
joint_product,blur,HEM_PA89.nii.gz,background,2,2,0.9951465981169297,0.26449980586767197,0.9961319572598795,0.9999809676090521,0.1191364408528525
joint_product,blur,HEM_PA89.nii.gz,foreground,2,1,0.7150203164173943,0.0026234989054501057,0.3153712722617911,0.5836632633483612,-0.2887061537686906
joint_product,blur,HEM_PA89.nii.gz,overall,2,2,0.9894101178204572,0.25878847390413284,0.9830540880930482,0.9997461361197102,0.16478934816325463
joint_product,gamma,HEM_PA89.nii.gz,background,2,2,0.9951465981169297,0.26449980586767197,0.9961319572598795,0.9999809676090521,0.1191364408528525
joint_product,gamma,HEM_PA89.nii.gz,foreground,2,1,0.7150203164173943,0.0026234989054501057,0.3153712722617911,0.5836632633483612,-0.2887061537686906
joint_product,gamma,HEM_PA89.nii.gz,overall,2,2,0.9894101178204572,0.25878847390413284,0.9830540880930482,0.9997461361197102,0.16478934816325463
world_pairwise,blur,HEM_PA89.nii.gz,background,2,2,0.9951465981169297,0.5092322528362274,0.9445088625872748,0.9979394372595574,0.10593341564922501
