source,action,case,region,count,mean,median,p10,p50,p90
world_pairwise,gamma,HEM_PA101.nii.gz,FN,143434,0.19059858679503805,0.075,0.015,0.075,0.585
world_pairwise,gamma,HEM_PA101.nii.gz,FP,1864,0.02213563901160408,0.025,0.005,0.025,0.035
world_pairwise,gamma,HEM_PA101.nii.gz,TN,13705428,0.5128150165672425,0.515,0.125,0.515,0.905
world_pairwise,gamma,HEM_PA101.nii.gz,TP,305050,0.0726377143005605,0.035,0.005,0.035,0.085
confidence_rank,all,HEM_PA101.nii.gz,TP,610100,0.03357087938450664,0.035,0.005,0.035,0.055
confidence_rank,all,HEM_PA101.nii.gz,FP,3728,0.008082247982319641,0.005,0.005,0.005,0.015
confidence_rank,all,HEM_PA101.nii.gz,TN,27410856,0.5151908330928161,0.505,0.255,0.505,0.805
confidence_rank,all,HEM_PA101.nii.gz,FN,286868,0.046866035135871585,0.035,0.005,0.035,0.085
world_pairwise,all,HEM_PA101.nii.gz,TP,610100,0.0726377143005605,0.035,0.005,0.035,0.085
world_pairwise,all,HEM_PA101.nii.gz,FP,3728,0.02213563901160408,0.025,0.005,0.025,0.035
world_pairwise,all,HEM_PA101.nii.gz,TN,27410856,0.5128150165672425,0.515,0.125,0.515,0.905
world_pairwise,all,HEM_PA101.nii.gz,FN,286868,0.19059858679503805,0.075,0.015,0.075,0.585
joint_product,all,HEM_PA101.nii.gz,TP,610100,0.0034167511408200934,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA101.nii.gz,FP,3728,0.00016551082797862496,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA101.nii.gz,TN,27410856,0.2603347566025408,0.225,0.065,0.225,0.475
joint_product,all,HEM_PA101.nii.gz,FN,286868,0.015137522765579899,0.005,0.005,0.005,0.045
confidence_rank,blur,HCC_10020116_20180118.nii.gz,FN,18513,0.010343495480914474,0.005,0.005,0.005,0.025
