case,target_prompt,action,n_patches,real_change_rate,predicted_change_rate,change_direction_cosine,relative_target_nmse,correct_nmse_improvement_vs_source_pct,correct_nmse_improvement_vs_wrong_spleen_pct,correct_nmse_improvement_vs_wrong_left_kidney_pct,correct_nmse_improvement_vs_wrong_right_kidney_pct
HEM_PA81.nii.gz,hepatic organ,source_identity,4,0.21194799430668354,0.0,,0.052693601697683334,,,,
HEM_PA81.nii.gz,hepatic organ,wrong_left_kidney,4,0.21194799430668354,0.08767381031066179,0.5978851765394211,0.033665231545455754,,,,
HEM_PA81.nii.gz,hepatic organ,wrong_right_kidney,4,0.21194799430668354,0.11548652313649654,0.8023839294910431,0.02130866324296221,,,,
HEM_PA81.nii.gz,hepatic organ,wrong_spleen,4,0.21194799430668354,0.07082889415323734,0.2771353628486395,0.04762296506669372,,,,
HEM_PA81.nii.gz,human liver,correct_action,4,0.16532974131405354,0.1584479659795761,0.9118494689464569,0.007067062717396766,76.81770800853594,75.237277883447,57.17665996867787,74.37297787644513
HEM_PA81.nii.gz,human liver,source_identity,4,0.16532974131405354,0.0,,0.03048474551178515,,,,
HEM_PA81.nii.gz,human liver,wrong_left_kidney,4,0.16532974131405354,0.08767381031066179,0.7045296430587769,0.016502829326782376,,,,
HEM_PA81.nii.gz,human liver,wrong_right_kidney,4,0.16532974131405354,0.11548652313649654,0.42824476957321167,0.027576605207286775,,,,
HEM_PA81.nii.gz,human liver,wrong_spleen,4,0.16532974131405354,0.07082889415323734,0.3154672123491764,0.028539118939079344,,,,
HEM_PA81.nii.gz,the liver,correct_action,4,0.09171573910862207,0.07785168569535017,0.8915534466505051,0.0018742114189080894,79.92142576721926,51.65218512632211,84.27204547448817,90.77231436410855
HEM_PA81.nii.gz,the liver,source_identity,4,0.09171573910862207,0.0,,0.009334384987596422,,,,
HEM_PA81.nii.gz,the liver,wrong_left_kidney,4,0.09171573910862207,0.08767381031066179,0.35729426331818104,0.011916434625163674,,,,
HEM_PA81.nii.gz,the liver,wrong_right_kidney,4,0.09171573910862207,0.11548652313649654,0.22715163324028254,0.020310741965658963,,,,
