table,scope,case,action,comparison_group,layer,patch_count,normalized_mse_to_real_action,delta_cosine_to_real_action,magnitude_ratio_to_real_action,probability_mse_to_real_oracle,probability_mae_to_real_oracle,logits_mse_to_real_oracle,mask_dice_to_real_oracle,mask_iou_to_real_oracle
encoder,context,,blur,real_action_oracle,encoder_stage_5,18,0.0,0.9999999966886308,1.0,,,,,
encoder,context,,blur,real_action_oracle,encoder_bottleneck_deepest,18,0.0,1.000000043047799,1.0,,,,,
final,context,,blur,real_action_oracle,,18,,,,0.0,0.0,0.0,1.0,1.0
encoder,case,CYST_PA62.nii.gz,gamma,identity_source,encoder_stage_2,4,0.027080146363005042,,0.0,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,identity_source,encoder_stage_3,4,0.021953725023195148,,0.0,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,identity_source,encoder_stage_4,4,0.027153000701218843,,0.0,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,identity_source,encoder_stage_5,4,0.028597420547157526,,0.0,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,identity_source,encoder_bottleneck_deepest,4,0.023027607472613454,,0.0,,,,,
final,case,CYST_PA62.nii.gz,gamma,identity_source,,4,,,,0.0009324742422904819,0.002372100483626188,0.8091377355158329,0.9635628260407642,0.9320886005119899
encoder,case,CYST_PA62.nii.gz,gamma,correct_action_wp,encoder_stage_2,4,0.026578374905511737,0.17037202045321465,0.27952931821346283,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,correct_action_wp,encoder_stage_3,4,0.021890028612688184,0.07822956331074238,0.13718116283416748,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,correct_action_wp,encoder_stage_4,4,0.027168845292180777,0.03206475614570081,0.07920207735151052,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,correct_action_wp,encoder_stage_5,4,0.028622118290513754,0.008792318403720856,0.04150796867907047,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,correct_action_wp,encoder_bottleneck_deepest,4,0.023202794138342142,-0.0011599139688769355,0.09110797569155693,,,,,
final,case,CYST_PA62.nii.gz,gamma,correct_action_wp,,4,,,,0.0009172056743409485,0.0023550735786557796,0.8158669546246529,0.9640359346442615,0.9329153402768239
encoder,case,CYST_PA62.nii.gz,gamma,wrong_action_wp,encoder_stage_2,4,0.10516040772199631,-0.03684242139570415,1.8200184404850006,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,wrong_action_wp,encoder_stage_3,4,0.041139612440019846,-0.03304653731174767,0.9791515618562698,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,wrong_action_wp,encoder_stage_4,4,0.033598576206713915,-0.025382895721122622,0.48588426411151886,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,wrong_action_wp,encoder_stage_5,4,0.034744459204375744,-0.00868198019452393,0.46628423035144806,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,wrong_action_wp,encoder_bottleneck_deepest,4,0.023202794138342142,-0.0011599139688769355,0.09110797569155693,,,,,
final,case,CYST_PA62.nii.gz,gamma,wrong_action_wp,,4,,,,0.0017062373808585107,0.003598630893975657,1.1008459776639938,0.9443683591230576,0.8999934187776778
encoder,case,CYST_PA62.nii.gz,gamma,real_action_oracle,encoder_stage_2,4,0.0,0.999999076128006,1.0,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,real_action_oracle,encoder_stage_3,4,0.0,0.9999997764825821,1.0,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,real_action_oracle,encoder_stage_4,4,0.0,1.0,1.0,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,real_action_oracle,encoder_stage_5,4,0.0,1.0000000894069672,1.0,,,,,
encoder,case,CYST_PA62.nii.gz,gamma,real_action_oracle,encoder_bottleneck_deepest,4,0.0,1.0000000298023224,1.0,,,,,
final,case,CYST_PA62.nii.gz,gamma,real_action_oracle,,4,,,,0.0,0.0,0.0,1.0,1.0
encoder,case,CYST_PA62.nii.gz,blur,identity_source,encoder_stage_2,4,0.21615512296557426,,0.0,,,,,
encoder,case,CYST_PA62.nii.gz,blur,identity_source,encoder_stage_3,4,0.1466764137148857,,0.0,,,,,
encoder,case,CYST_PA62.nii.gz,blur,identity_source,encoder_stage_4,4,0.12495522201061249,,0.0,,,,,
encoder,case,CYST_PA62.nii.gz,blur,identity_source,encoder_stage_5,4,0.13313969410955906,,0.0,,,,,
encoder,case,CYST_PA62.nii.gz,blur,identity_source,encoder_bottleneck_deepest,4,0.10200634971261024,,0.0,,,,,
final,case,CYST_PA62.nii.gz,blur,identity_source,,4,,,,0.0048573813401162624,0.007791028823704621,5.716566026210785,0.8860541846993445,0.8150034766861787
encoder,case,CYST_PA62.nii.gz,blur,correct_action_wp,encoder_stage_2,4,0.15134726837277412,0.5501070767641068,0.6080450713634491,,,,,
encoder,case,CYST_PA62.nii.gz,blur,correct_action_wp,encoder_stage_3,4,0.1346840038895607,0.29149986803531647,0.3559797555208206,,,,,
encoder,case,CYST_PA62.nii.gz,blur,correct_action_wp,encoder_stage_4,4,0.12348888628184795,0.13196915574371815,0.2139948606491089,,,,,
encoder,case,CYST_PA62.nii.gz,blur,correct_action_wp,encoder_stage_5,4,0.1328636035323143,0.1084452960640192,0.21451914682984352,,,,,
encoder,case,CYST_PA62.nii.gz,blur,correct_action_wp,encoder_bottleneck_deepest,4,0.10183057188987732,0.04217621497809887,0.042704345658421516,,,,,
final,case,CYST_PA62.nii.gz,blur,correct_action_wp,,4,,,,0.004346382920630276,0.007295055082068925,5.885546445846558,0.8928671050445673,0.824054544346537
encoder,case,CYST_PA62.nii.gz,blur,wrong_action_wp,encoder_stage_2,4,0.21932461857795715,-0.03316435590386391,0.09299932047724724,,,,,
