variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,delta_dice_vs_A_init,delta_foreground_iou_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A2_joint_product,forward,4,HEM_PA29.nii.gz,full_volume,553656,139817,14361690,858399,0.5259070408942556,0.798381479884581,0.39209237600518393,0.3567665374463873,0.004314746756865939,0.003959735865862013,-0.0019417160929037225,0.005232799005704447
A2_joint_product,forward,4,HEP_PA28.nii.gz,full_volume,418252,159227,6809558,490118,0.5629804912881456,0.7242722246176917,0.46044233076829927,0.3917695534925632,0.007916155541162428,0.007624882225186924,-0.014171256123271192,0.01579752743925933
A2_joint_product,forward,4,HEM_PA107.nii.gz,full_volume,408117,37014,11741587,412498,0.644863977448872,0.916846950672948,0.49733066054117947,0.47586660432424743,0.02023271555588335,0.021711115264128222,-0.007015931885763105,0.025516228682146924
A2_joint_product,forward,8,CYST_PA62.nii.gz,full_volume,401560,229764,11861306,811766,0.43537798498360125,0.6360600895894977,0.33095804425191583,0.2782640029381397,0.005683388588696048,0.0046264064499561,-0.035999894625182716,0.015152564108903976
A2_joint_product,forward,8,HEM_PA29.nii.gz,full_volume,566115,145856,14355651,845940,0.5330584465538557,0.7951377233061458,0.40091568671191985,0.36338083497709434,0.011466152416466091,0.010574033396569038,-0.005185472671338842,0.014056109712440368
A2_joint_product,forward,8,HEP_PA28.nii.gz,full_volume,430526,175136,6793649,477844,0.5687145317932514,0.7108354164534014,0.47395444587557933,0.39734528465924507,0.01365019604626816,0.013200613391868787,-0.027608064287561462,0.029309642546539394
A2_joint_product,forward,8,HEM_PA107.nii.gz,full_volume,420798,50976,11727625,399817,0.6511940290423395,0.8919482633633901,0.5127837049042486,0.48279296137752686,0.026562767149350797,0.028637472317407653,-0.031914619195321015,0.04096927304521608
A2_joint_product,forward,12,CYST_PA62.nii.gz,full_volume,416698,246755,11844315,796628,0.44405654581599646,0.6280746337720984,0.343434493285399,0.285393755551918,0.014361949421091258,0.011756159063734395,-0.043985350442582005,0.027629013142387138
A2_joint_product,forward,12,HEM_PA29.nii.gz,full_volume,617585,156257,14345250,794470,0.5650632211856277,0.7980763515032785,0.4373661082606556,0.3937896285943103,0.04347092704823807,0.04098282701378503,-0.0022468444742062,0.0505065312611761
A2_joint_product,forward,12,HEP_PA28.nii.gz,full_volume,448138,194228,6774557,460232,0.5779681389998039,0.6976365498796636,0.4933430210156654,0.406438248572916,0.02290380325282071,0.022293577305539714,-0.04080693086129927,0.04869821768662547
A2_joint_product,forward,12,HEM_PA107.nii.gz,full_volume,435953,67776,11710825,384662,0.6583682185293247,0.8654514629890279,0.5312515613290032,0.49072199065501565,0.033736956636336024,0.03656650159489644,-0.05841141956968321,0.05943712946997065
A2_joint_product,forward,16,CYST_PA62.nii.gz,full_volume,435305,266559,11824511,778021,0.4545815297698923,0.6202127477687985,0.3587700255331214,0.2941478560834119,0.024886933374987097,0.020510259595228286,-0.05184723644588185,0.04296454539010952
A2_joint_product,forward,16,HEM_PA29.nii.gz,full_volume,659576,172802,14328705,752479,0.587743987011419,0.7923996069093608,0.46710361848511567,0.4161738251463697,0.06615169287402933,0.0633670235658444,-0.007923589068123849,0.08024404148563619
A2_joint_product,forward,16,HEP_PA28.nii.gz,full_volume,516645,220704,6748081,391725,0.6278653889272713,0.7006790542877254,0.5687605270979887,0.45758293964788843,0.07280105318028807,0.07343826838051215,-0.03776442645323752,0.1241157237689488
A2_joint_product,forward,16,HEM_PA107.nii.gz,full_volume,469668,81320,11697281,350947,0.6848453962261675,0.8524105788147837,0.5723366012076309,0.5207337557584527,0.06021413433317879,0.0665782666983335,-0.07145230374392741,0.10052216934859831
A2_joint_product,forward,20,CYST_PA62.nii.gz,full_volume,557210,305826,11785244,656116,0.5367175858544897,0.6456393476054302,0.4592417866261829,0.36679015661368974,0.1070229894595845,0.09315256012550616,-0.026420636609250203,0.14343630648317107
A2_joint_product,forward,20,HEM_PA29.nii.gz,full_volume,713132,223430,14278077,698923,0.6072782407689291,0.7614359754079282,0.5050313196015735,0.4360370165424935,0.0856859466315395,0.0832302149619682,-0.03888722056955651,0.11817174260209407
A2_joint_product,forward,20,HEP_PA28.nii.gz,full_volume,546320,250665,6718120,362050,0.640711171574247,0.6854834156226278,0.6014289331439832,0.4713576380350895,0.08564683582726373,0.08721296676771323,-0.052960065118335065,0.15678412981494322
A2_joint_product,forward,20,HEM_PA107.nii.gz,full_volume,506170,96403,11682198,314445,0.7113185327588485,0.840014404893681,0.6168178743990788,0.5519738980041832,0.08668727086585981,0.09781840894406396,-0.08384847766503012,0.1450034425400462
A2_joint_product,reverse,20,CYST_PA62.nii.gz,full_volume,590613,317303,11773767,622713,0.5568558420019969,0.6505150256191101,0.4867718980719114,0.3858629360870596,0.1271612456070917,0.11222533959887604,-0.021544958595570263,0.17096641792889955
A2_joint_product,reverse,20,HEM_PA29.nii.gz,full_volume,775006,237069,14264438,637049,0.6394096026203215,0.7657594545858756,0.5488497261084023,0.46995010684460353,0.11781730848293193,0.11714330526407823,-0.034563741391609115,0.16199014910892284
A2_joint_product,reverse,20,HEP_PA28.nii.gz,full_volume,550675,258232,6710553,357695,0.641335090378547,0.6807642905797576,0.6062232350253751,0.47203330698901597,0.08627075463156375,0.08788863572163969,-0.05767919016120526,0.16157843169633518
A2_joint_product,reverse,20,HEM_PA107.nii.gz,full_volume,539673,110599,11668002,280942,0.7338061999324217,0.8299188647212243,0.6576445714494616,0.5795370344518016,0.10917493803943301,0.1253815453916824,-0.09394401783748674,0.1858301395904291
A_uniform_balanced,forward,0,CYST_PA62.nii.gz,full_volume,383175,186975,11904095,830151,0.4296945963949052,0.6720599842146804,0.31580548014301185,0.2736375964881836,,,,
A_uniform_balanced,forward,0,HEM_PA29.nii.gz,full_volume,546267,136291,14365216,865788,0.5215922941373896,0.8003231959774847,0.3868595769994795,0.3528068015805253,,,,
A_uniform_balanced,forward,0,HEP_PA28.nii.gz,full_volume,403902,143062,6825723,504468,0.5550643357469832,0.7384434807409629,0.44464480332903994,0.3841446712673763,,,,
A_uniform_balanced,forward,0,HEM_PA107.nii.gz,full_volume,387178,31908,11746693,433437,0.6246312618929887,0.9238628825587111,0.47181443185903255,0.4541554890601192,,,,
A0_confidence_rank,forward,0,CYST_PA62.nii.gz,full_volume,383175,186975,11904095,830151,0.4296945963949052,0.6720599842146804,0.31580548014301185,0.2736375964881836,,,,
A0_confidence_rank,forward,0,HEM_PA29.nii.gz,full_volume,546267,136291,14365216,865788,0.5215922941373896,0.8003231959774847,0.3868595769994795,0.3528068015805253,,,,
A0_confidence_rank,forward,0,HEP_PA28.nii.gz,full_volume,403902,143062,6825723,504468,0.5550643357469832,0.7384434807409629,0.44464480332903994,0.3841446712673763,,,,
A0_confidence_rank,forward,0,HEM_PA107.nii.gz,full_volume,387178,31908,11746693,433437,0.6246312618929887,0.9238628825587111,0.47181443185903255,0.4541554890601192,,,,
A1_world,forward,0,CYST_PA62.nii.gz,full_volume,383175,186975,11904095,830151,0.4296945963949052,0.6720599842146804,0.31580548014301185,0.2736375964881836,,,,
A1_world,forward,0,HEM_PA29.nii.gz,full_volume,546267,136291,14365216,865788,0.5215922941373896,0.8003231959774847,0.3868595769994795,0.3528068015805253,,,,
A1_world,forward,0,HEP_PA28.nii.gz,full_volume,403902,143062,6825723,504468,0.5550643357469832,0.7384434807409629,0.44464480332903994,0.3841446712673763,,,,
A1_world,forward,0,HEM_PA107.nii.gz,full_volume,387178,31908,11746693,433437,0.6246312618929887,0.9238628825587111,0.47181443185903255,0.4541554890601192,,,,
A2_joint_product,forward,0,CYST_PA62.nii.gz,full_volume,383175,186975,11904095,830151,0.4296945963949052,0.6720599842146804,0.31580548014301185,0.2736375964881836,,,,
A2_joint_product,forward,0,HEM_PA29.nii.gz,full_volume,546267,136291,14365216,865788,0.5215922941373896,0.8003231959774847,0.3868595769994795,0.3528068015805253,,,,
A2_joint_product,forward,0,HEP_PA28.nii.gz,full_volume,403902,143062,6825723,504468,0.5550643357469832,0.7384434807409629,0.44464480332903994,0.3841446712673763,,,,
A2_joint_product,forward,0,HEM_PA107.nii.gz,full_volume,387178,31908,11746693,433437,0.6246312618929887,0.9238628825587111,0.47181443185903255,0.4541554890601192,,,,
