case,patch_index,patch_kind,method,scope,region,voxel_count,reliability_mean
HEM_PA107.nii.gz,1,context,confidence,foreground,FN,38535,0.01622407439495268
HEM_PA107.nii.gz,1,context,confidence,foreground,TN,0,
HEM_PA107.nii.gz,1,context,real_blur,overall,TP,202782,0.06589899519114602
HEM_PA107.nii.gz,1,context,real_blur,overall,FP,10345,0.043682777455257525
HEM_PA107.nii.gz,1,context,real_blur,overall,FN,38535,0.021391651733106903
HEM_PA107.nii.gz,1,context,real_blur,overall,TN,6826226,0.5162888163289948
HEM_PA107.nii.gz,1,context,real_blur,foreground,TP,202782,0.06589899519114602
HEM_PA107.nii.gz,1,context,real_blur,foreground,FP,0,
HEM_PA107.nii.gz,1,context,real_blur,foreground,FN,38535,0.021391651733106903
HEM_PA107.nii.gz,1,context,real_blur,foreground,TN,0,
HEM_PA107.nii.gz,1,context,imagined_blur,overall,TP,202782,0.12479328763260271
HEM_PA107.nii.gz,1,context,imagined_blur,overall,FP,10345,0.045088944952519056
HEM_PA107.nii.gz,1,context,imagined_blur,overall,FN,38535,0.01792782726061395
HEM_PA107.nii.gz,1,context,imagined_blur,overall,TN,6826226,0.5145567088276375
HEM_PA107.nii.gz,1,context,imagined_blur,foreground,TP,202782,0.12479328763260271
HEM_PA107.nii.gz,1,context,imagined_blur,foreground,FP,0,
HEM_PA107.nii.gz,1,context,imagined_blur,foreground,FN,38535,0.01792782726061395
HEM_PA107.nii.gz,1,context,imagined_blur,foreground,TN,0,
HEM_PA107.nii.gz,2,foreground,confidence,overall,TP,181529,0.02404522035244409
HEM_PA107.nii.gz,2,foreground,confidence,overall,FP,7740,0.016648794262348787
HEM_PA107.nii.gz,2,foreground,confidence,overall,FN,147758,0.033141735744138145
HEM_PA107.nii.gz,2,foreground,confidence,overall,TN,6740861,0.5236057777718317
HEM_PA107.nii.gz,2,foreground,confidence,foreground,TP,181529,0.02404522035244409
HEM_PA107.nii.gz,2,foreground,confidence,foreground,FP,0,
HEM_PA107.nii.gz,2,foreground,confidence,foreground,FN,147758,0.033141735744138145
HEM_PA107.nii.gz,2,foreground,confidence,foreground,TN,0,
HEM_PA107.nii.gz,2,foreground,real_blur,overall,TP,181529,0.023155454676054177
HEM_PA107.nii.gz,2,foreground,real_blur,overall,FP,7740,0.026024473822394083
HEM_PA107.nii.gz,2,foreground,real_blur,overall,FN,147758,0.03842658677675116
HEM_PA107.nii.gz,2,foreground,real_blur,overall,TN,6740861,0.5235029843079866
HEM_PA107.nii.gz,2,foreground,real_blur,foreground,TP,181529,0.023155454676054177
HEM_PA107.nii.gz,2,foreground,real_blur,foreground,FP,0,
HEM_PA107.nii.gz,2,foreground,real_blur,foreground,FN,147758,0.03842658677675116
HEM_PA107.nii.gz,2,foreground,real_blur,foreground,TN,0,
HEM_PA107.nii.gz,2,foreground,imagined_blur,overall,TP,181529,0.051577337225050784
HEM_PA107.nii.gz,2,foreground,imagined_blur,overall,FP,7740,0.0193856485669311
HEM_PA107.nii.gz,2,foreground,imagined_blur,overall,FN,147758,0.03350428514430957
HEM_PA107.nii.gz,2,foreground,imagined_blur,overall,TN,6740861,0.5228531104277989
HEM_PA107.nii.gz,2,foreground,imagined_blur,foreground,TP,181529,0.051577337225050784
HEM_PA107.nii.gz,2,foreground,imagined_blur,foreground,FP,0,
