split,case,patch_index,patch_kind,gamma_strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
val,HEM_PA107.nii.gz,1,context,-0.3,0.03938228264451027,0.04307492449879646,0.0236353799700737
val,HEM_PA107.nii.gz,1,context,-0.15,0.009067906998097897,0.009862803854048252,0.005334004759788513
val,HEM_PA107.nii.gz,1,context,0.15,0.007589623332023621,0.0064080688171088696,0.0022850900422781706
val,HEM_PA107.nii.gz,1,context,0.3,0.027598446235060692,0.0198595579713583,0.005475834012031555
val,HEM_PA107.nii.gz,2,foreground,-0.3,0.037021905183792114,0.03874232620000839,0.00927235558629036
val,HEM_PA107.nii.gz,2,foreground,-0.15,0.008651780895888805,0.009188410826027393,0.0020652408711612225
val,HEM_PA107.nii.gz,2,foreground,0.15,0.007369640748947859,0.007522159721702337,0.001707414397969842
val,HEM_PA107.nii.gz,2,foreground,0.3,0.026929501444101334,0.02533647231757641,0.005742053035646677
val,HEM_PA107.nii.gz,3,context_fill,-0.3,0.025294573977589607,0.009170135483145714,0.0014829596038907766
val,HEM_PA107.nii.gz,3,context_fill,-0.15,0.005409019533544779,0.0023731684777885675,0.0004059341736137867
val,HEM_PA107.nii.gz,3,context_fill,0.15,0.00403668312355876,0.0022414710838347673,0.00041603323188610375
val,HEM_PA107.nii.gz,3,context_fill,0.3,0.01407968532294035,0.007000867277383804,0.0013942698715254664
