case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
HEP_PA28.nii.gz,0,context,real_pairwise_world_stability,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_pairwise_world_stability,background,7077888,0.9771635267469618,0.49999992866700843,0.8654835180525928,0.9866783662705334,0.18913170024115142
HEP_PA28.nii.gz,0,context,real_gamma_joint_product,overall,7077888,0.9771635267469618,0.31413239246187963,0.8482567248033053,0.9886793056303961,0.1802384203588119
HEP_PA28.nii.gz,0,context,real_gamma_joint_product,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_gamma_joint_product,background,7077888,0.9771635267469618,0.31413239246187963,0.8482567248033053,0.9886793056303961,0.1802384203588119
HEP_PA28.nii.gz,0,context,real_blur_joint_product,overall,7077888,0.9771635267469618,0.3174018812182617,0.9029667879530743,0.9922493967330205,0.20852578002510208
HEP_PA28.nii.gz,0,context,real_blur_joint_product,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_blur_joint_product,background,7077888,0.9771635267469618,0.3174018812182617,0.9029667879530743,0.9922493967330205,0.20852578002510208
HEP_PA28.nii.gz,0,context,real_pairwise_joint_product,overall,7077888,0.9771635267469618,0.3196729679695236,0.9129216459299523,0.9928179984519068,0.2136771588299639
HEP_PA28.nii.gz,0,context,real_pairwise_joint_product,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_pairwise_joint_product,background,7077888,0.9771635267469618,0.3196729679695236,0.9129216459299523,0.9928179984519068,0.2136771588299639
HEP_PA28.nii.gz,1,context,confidence_rank,overall,7077888,0.9971016777886285,0.5000000948670001,0.6113917768949393,0.9977464307085496,0.24354056605576585
HEP_PA28.nii.gz,1,context,confidence_rank,foreground,26716,0.2859335229824824,0.350217288482361,0.254728323052724,0.20257914660608606,-0.4727120040182727
HEP_PA28.nii.gz,1,context,confidence_rank,background,7051172,0.999796204092029,0.5005676029997436,0.8996045462038444,0.9999590879764034,0.31786827622952407
HEP_PA28.nii.gz,1,context,real_gamma_world_stability,overall,7077888,0.9971016777886285,0.49999991834330876,0.6085329007623778,0.9977298274785485,0.24157722524074307
HEP_PA28.nii.gz,1,context,real_gamma_world_stability,foreground,26716,0.2859335229824824,0.3598561744156989,0.29521697171431044,0.2148857927074,-0.40370025888914907
HEP_PA28.nii.gz,1,context,real_gamma_world_stability,background,7051172,0.999796204092029,0.5005309052860142,0.868937423041046,0.9999465896367818,0.29490237416589865
HEP_PA28.nii.gz,1,context,real_blur_world_stability,overall,7077888,0.9971016777886285,0.49999990045911447,0.8979430003755858,0.9994419139570759,0.19811526370580174
HEP_PA28.nii.gz,1,context,real_blur_world_stability,foreground,26716,0.2859335229824824,0.08826221650161506,0.17948304431473489,0.19114306671066741,-0.5027252095728754
HEP_PA28.nii.gz,1,context,real_blur_world_stability,background,7051172,0.999796204092029,0.5015599225326943,0.9853770502976195,0.9999948629308372,0.06615926757846777
HEP_PA28.nii.gz,1,context,real_pairwise_world_stability,overall,7077888,0.9971016777886285,0.4999999459060089,0.8982964063159679,0.9994438315839084,0.19825427561850154
HEP_PA28.nii.gz,1,context,real_pairwise_world_stability,foreground,26716,0.2859335229824824,0.0863274919503034,0.1719414742150206,0.1883837095257265,-0.5144897873489082
HEP_PA28.nii.gz,1,context,real_pairwise_world_stability,background,7051172,0.999796204092029,0.5015672985787107,0.9894582487795621,0.9999965122039747,0.06671172703373981
HEP_PA28.nii.gz,1,context,real_gamma_joint_product,overall,7077888,0.9971016777886285,0.2505691402885688,0.6143282141037125,0.9977634398364842,0.24709693189587087
HEP_PA28.nii.gz,1,context,real_gamma_joint_product,foreground,26716,0.2859335229824824,0.17369118770551964,0.2652470898368943,0.2015131681924497,-0.44908997198500583
HEP_PA28.nii.gz,1,context,real_gamma_joint_product,background,7051172,0.999796204092029,0.2508604211396399,0.9019623054586466,0.9999600649189448,0.3159499059650627
HEP_PA28.nii.gz,1,context,real_blur_joint_product,overall,7077888,0.9971016777886285,0.25059365332804656,0.8992705745701217,0.9994470431785856,0.19872828612201968
