case_id,patch_index,patch_kind,action,layer,feature_shape,delta_norm,relative_delta,cosine_similarity,mse
CYST_PA19.nii.gz,1,context,gamma,encoder_stage_2,1x64x96x96x96,1099.9969482421875,0.12374566495418549,0.9923477172851562,0.02136925421655178
CYST_PA19.nii.gz,1,context,gamma,encoder_stage_3,1x128x48x48x48,536.262939453125,0.10335966944694519,0.9946631193161011,0.02031523734331131
CYST_PA19.nii.gz,1,context,gamma,encoder_stage_4,1x256x24x24x24,300.53106689453125,0.0924781784415245,0.9957156181335449,0.025521432980895042
CYST_PA19.nii.gz,1,context,gamma,encoder_stage_5,1x320x12x12x12,149.00436401367188,0.0719112679362297,0.9974166750907898,0.040151726454496384
CYST_PA19.nii.gz,1,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,56.413394927978516,0.06581088155508041,0.9978352785110474,0.04604269564151764
CYST_PA19.nii.gz,1,context,blur,encoder_stage_1,1x32x192x192x192,6045.73095703125,0.512326717376709,0.8654079437255859,0.16137787699699402
CYST_PA19.nii.gz,1,context,blur,encoder_stage_2,1x64x96x96x96,4307.73291015625,0.4846042990684509,0.879905104637146,0.3277207016944885
CYST_PA19.nii.gz,1,context,blur,encoder_stage_3,1x128x48x48x48,1968.3402099609375,0.37937918305397034,0.9272747039794922,0.27369484305381775
CYST_PA19.nii.gz,1,context,blur,encoder_stage_4,1x256x24x24x24,1107.6322021484375,0.3408359885215759,0.943167507648468,0.346670925617218
CYST_PA19.nii.gz,1,context,blur,encoder_stage_5,1x320x12x12x12,556.6110229492188,0.2686270773410797,0.9634265899658203,0.5602861046791077
CYST_PA19.nii.gz,1,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,198.18453979492188,0.23119862377643585,0.9730868339538574,0.5682452321052551
CYST_PA19.nii.gz,2,foreground,gamma,encoder_stage_1,1x32x192x192x192,1370.6278076171875,0.11507866531610489,0.9933566451072693,0.008294408209621906
CYST_PA19.nii.gz,2,foreground,gamma,encoder_stage_2,1x64x96x96x96,1020.0592651367188,0.11701862514019012,0.9931598901748657,0.01837625913321972
CYST_PA19.nii.gz,2,foreground,gamma,encoder_stage_3,1x128x48x48x48,513.7618408203125,0.09956423938274384,0.9950541853904724,0.018646184355020523
CYST_PA19.nii.gz,2,foreground,gamma,encoder_stage_4,1x256x24x24x24,286.9887390136719,0.08832837641239166,0.9960917830467224,0.023273196071386337
CYST_PA19.nii.gz,2,foreground,gamma,encoder_stage_5,1x320x12x12x12,154.1031036376953,0.07502682507038116,0.9971904754638672,0.04294662922620773
CYST_PA19.nii.gz,2,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,57.026546478271484,0.06691472232341766,0.9977611899375916,0.04704900085926056
CYST_PA19.nii.gz,2,foreground,blur,encoder_stage_1,1x32x192x192x192,5687.353515625,0.4775133430957794,0.8836132884025574,0.14281268417835236
CYST_PA19.nii.gz,2,foreground,blur,encoder_stage_2,1x64x96x96x96,4238.3515625,0.48621299862861633,0.8793057203292847,0.31724902987480164
CYST_PA19.nii.gz,2,foreground,blur,encoder_stage_3,1x128x48x48x48,2016.69091796875,0.39082369208335876,0.9226781129837036,0.2873062193393707
CYST_PA19.nii.gz,2,foreground,blur,encoder_stage_4,1x256x24x24x24,1121.7994384765625,0.34526345133781433,0.9412700533866882,0.3555959165096283
CYST_PA19.nii.gz,2,foreground,blur,encoder_stage_5,1x320x12x12x12,623.4530029296875,0.3035351037979126,0.9535003900527954,0.7029326558113098
CYST_PA19.nii.gz,2,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,227.99566650390625,0.2675292193889618,0.9640108942985535,0.752054750919342
CYST_PA19.nii.gz,3,foreground,gamma,encoder_stage_1,1x32x192x192x192,1514.6153564453125,0.12744593620300293,0.9918569922447205,0.010128636844456196
CYST_PA19.nii.gz,3,foreground,gamma,encoder_stage_2,1x64x96x96x96,1120.7529296875,0.12682823836803436,0.991958498954773,0.02218329720199108
CYST_PA19.nii.gz,3,foreground,gamma,encoder_stage_3,1x128x48x48x48,538.313720703125,0.10406314581632614,0.9945933222770691,0.020470915362238884
CYST_PA19.nii.gz,3,foreground,gamma,encoder_stage_4,1x256x24x24x24,301.3311462402344,0.09280142188072205,0.9956846833229065,0.025657501071691513
CYST_PA19.nii.gz,3,foreground,gamma,encoder_stage_5,1x320x12x12x12,139.33670043945312,0.06667882949113846,0.9977788925170898,0.03511052206158638
CYST_PA19.nii.gz,3,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,48.073673248291016,0.05586416274309158,0.9984404444694519,0.03343573585152626
CYST_PA19.nii.gz,3,foreground,blur,encoder_stage_1,1x32x192x192x192,5986.89111328125,0.5037615299224854,0.8697724342346191,0.15825194120407104
CYST_PA19.nii.gz,3,foreground,blur,encoder_stage_2,1x64x96x96x96,4278.44287109375,0.4841632544994354,0.8803429007530212,0.3232792019844055
CYST_PA19.nii.gz,3,foreground,blur,encoder_stage_3,1x128x48x48x48,1956.70751953125,0.3782573938369751,0.9275926351547241,0.27046942710876465
CYST_PA19.nii.gz,3,foreground,blur,encoder_stage_4,1x256x24x24x24,1117.483642578125,0.34415316581726074,0.9420098662376404,0.352865070104599
CYST_PA19.nii.gz,3,foreground,blur,encoder_stage_5,1x320x12x12x12,633.8447265625,0.30332300066947937,0.9533831477165222,0.7265608906745911
CYST_PA19.nii.gz,3,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,228.87779235839844,0.2659681737422943,0.9644129276275635,0.7578855156898499
HEM_PA13.nii.gz,0,context,gamma,encoder_stage_1,1x32x192x192x192,1499.7471923828125,0.12131799757480621,0.992641806602478,0.009930758737027645
HEM_PA13.nii.gz,0,context,gamma,encoder_stage_2,1x64x96x96x96,1029.1470947265625,0.12402777373790741,0.9922901391983032,0.018705151975154877
HEM_PA13.nii.gz,0,context,gamma,encoder_stage_3,1x128x48x48x48,560.2979736328125,0.11161868274211884,0.9937551021575928,0.022177085280418396
HEM_PA13.nii.gz,0,context,gamma,encoder_stage_4,1x256x24x24x24,403.82012939453125,0.12664678692817688,0.9919506311416626,0.046078912913799286
HEM_PA13.nii.gz,0,context,gamma,encoder_stage_5,1x320x12x12x12,240.2204132080078,0.12035670876502991,0.992753803730011,0.10435808449983597
HEM_PA13.nii.gz,0,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,91.81172180175781,0.10794686526060104,0.9941704869270325,0.12195301800966263
HEM_PA13.nii.gz,0,context,blur,encoder_stage_1,1x32x192x192x192,5038.14208984375,0.40754690766334534,0.916612446308136,0.11206944286823273
HEM_PA13.nii.gz,0,context,blur,encoder_stage_2,1x64x96x96x96,3707.6025390625,0.4468221068382263,0.8978750109672546,0.24276867508888245
HEM_PA13.nii.gz,0,context,blur,encoder_stage_3,1x128x48x48x48,1812.3203125,0.36103788018226624,0.9341062307357788,0.23202577233314514
HEM_PA13.nii.gz,0,context,blur,encoder_stage_4,1x256x24x24x24,1143.3148193359375,0.3585684299468994,0.9369539618492126,0.3693668842315674
HEM_PA13.nii.gz,0,context,blur,encoder_stage_5,1x320x12x12x12,661.1536254882812,0.3312552571296692,0.944718062877655,0.79051673412323
HEM_PA13.nii.gz,0,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,250.02841186523438,0.2939688265323639,0.9566815495491028,0.9044300317764282
HEM_PA13.nii.gz,1,context,gamma,encoder_stage_1,1x32x192x192x192,1627.9010009765625,0.13560251891613007,0.9907748103141785,0.011700443923473358
HEM_PA13.nii.gz,1,context,gamma,encoder_stage_2,1x64x96x96x96,1149.71044921875,0.1308482587337494,0.9914219379425049,0.023344429209828377
HEM_PA13.nii.gz,1,context,gamma,encoder_stage_3,1x128x48x48x48,565.3886108398438,0.11020182818174362,0.993923008441925,0.022581899538636208
HEM_PA13.nii.gz,1,context,gamma,encoder_stage_4,1x256x24x24x24,334.5647277832031,0.10293936729431152,0.9946877956390381,0.031629081815481186
HEM_PA13.nii.gz,1,context,gamma,encoder_stage_5,1x320x12x12x12,159.6464080810547,0.0776524767279625,0.9969868063926697,0.046091899275779724
