case,action,raw_support_voxels_before,raw_support_voxels_after,raw_support_identical,raw_outside_support_values_identical,preprocessed_shape_before,preprocessed_shape_after,preprocessed_shape_identical,padded_shape_identical,sliding_window_count_before,sliding_window_count_after,sliding_window_topology_identical,raw_action_generation
HCC_PA0.nii.gz,gamma:+0.30,24131520,24131520,True,True,"[1, 95, 504, 504]","[1, 95, 504, 504]",True,True,25,25,True,V0 stable case/action/seed
HCC_PA0.nii.gz,gaussian_noise:+0.02,24131520,24131520,True,True,"[1, 95, 504, 504]","[1, 95, 504, 504]",True,True,25,25,True,V0 stable case/action/seed
HCC_PA0.nii.gz,gaussian_noise:+0.05,24131520,24131520,True,True,"[1, 95, 504, 504]","[1, 95, 504, 504]",True,True,25,25,True,V0 stable case/action/seed
HCC_PA0.nii.gz,bias_field:+0.05,24131520,24131520,True,True,"[1, 95, 504, 504]","[1, 95, 504, 504]",True,True,25,25,True,V0 stable case/action/seed
HCC_PA0.nii.gz,bias_field:+0.15,24131520,24131520,True,True,"[1, 95, 504, 504]","[1, 95, 504, 504]",True,True,25,25,True,V0 stable case/action/seed
CYST_PA37.nii.gz,gamma:-0.30,5734099,5734099,True,True,"[1, 27, 451, 471]","[1, 27, 451, 471]",True,True,16,16,True,V0 stable case/action/seed
CYST_PA37.nii.gz,gamma:+0.30,5734099,5734099,True,True,"[1, 27, 451, 471]","[1, 27, 451, 471]",True,True,16,16,True,V0 stable case/action/seed
CYST_PA37.nii.gz,gaussian_noise:+0.02,5734099,5734099,True,True,"[1, 27, 451, 471]","[1, 27, 451, 471]",True,True,16,16,True,V0 stable case/action/seed
CYST_PA37.nii.gz,gaussian_noise:+0.05,5734099,5734099,True,True,"[1, 27, 451, 471]","[1, 27, 451, 471]",True,True,16,16,True,V0 stable case/action/seed
CYST_PA37.nii.gz,bias_field:+0.05,5734099,5734099,True,True,"[1, 27, 451, 471]","[1, 27, 451, 471]",True,True,16,16,True,V0 stable case/action/seed
CYST_PA37.nii.gz,bias_field:+0.15,5734099,5734099,True,True,"[1, 27, 451, 471]","[1, 27, 451, 471]",True,True,16,16,True,V0 stable case/action/seed
ICC_PA18.nii.gz,gamma:-0.30,19796328,19796328,True,True,"[1, 87, 456, 499]","[1, 87, 456, 499]",True,True,20,20,True,V0 stable case/action/seed
ICC_PA18.nii.gz,gamma:+0.30,19796328,19796328,True,True,"[1, 87, 456, 499]","[1, 87, 456, 499]",True,True,20,20,True,V0 stable case/action/seed
ICC_PA18.nii.gz,gaussian_noise:+0.02,19796328,19796328,True,True,"[1, 87, 456, 499]","[1, 87, 456, 499]",True,True,20,20,True,V0 stable case/action/seed
ICC_PA18.nii.gz,gaussian_noise:+0.05,19796328,19796328,True,True,"[1, 87, 456, 499]","[1, 87, 456, 499]",True,True,20,20,True,V0 stable case/action/seed
ICC_PA18.nii.gz,bias_field:+0.05,19796328,19796328,True,True,"[1, 87, 456, 499]","[1, 87, 456, 499]",True,True,20,20,True,V0 stable case/action/seed
ICC_PA18.nii.gz,bias_field:+0.15,19796328,19796328,True,True,"[1, 87, 456, 499]","[1, 87, 456, 499]",True,True,20,20,True,V0 stable case/action/seed
HCC_10081574_20140213.nii.gz,gamma:-0.30,4329228,4329228,True,True,"[1, 25, 364, 476]","[1, 25, 364, 476]",True,True,12,12,True,V0 stable case/action/seed
HCC_10081574_20140213.nii.gz,gamma:+0.30,4329228,4329228,True,True,"[1, 25, 364, 476]","[1, 25, 364, 476]",True,True,12,12,True,V0 stable case/action/seed
HCC_10081574_20140213.nii.gz,gaussian_noise:+0.02,4329228,4329228,True,True,"[1, 25, 364, 476]","[1, 25, 364, 476]",True,True,12,12,True,V0 stable case/action/seed
HCC_10081574_20140213.nii.gz,gaussian_noise:+0.05,4329228,4329228,True,True,"[1, 25, 364, 476]","[1, 25, 364, 476]",True,True,12,12,True,V0 stable case/action/seed
HCC_10081574_20140213.nii.gz,bias_field:+0.05,4329228,4329228,True,True,"[1, 25, 364, 476]","[1, 25, 364, 476]",True,True,12,12,True,V0 stable case/action/seed
HCC_10081574_20140213.nii.gz,bias_field:+0.15,4329228,4329228,True,True,"[1, 25, 364, 476]","[1, 25, 364, 476]",True,True,12,12,True,V0 stable case/action/seed
MET_PA19.nii.gz,gamma:-0.30,5275008,5275008,True,True,"[1, 24, 456, 482]","[1, 24, 456, 482]",True,True,20,20,True,V0 stable case/action/seed
MET_PA19.nii.gz,gamma:+0.30,5275008,5275008,True,True,"[1, 24, 456, 482]","[1, 24, 456, 482]",True,True,20,20,True,V0 stable case/action/seed
MET_PA19.nii.gz,gaussian_noise:+0.02,5275008,5275008,True,True,"[1, 24, 456, 482]","[1, 24, 456, 482]",True,True,20,20,True,V0 stable case/action/seed
MET_PA19.nii.gz,gaussian_noise:+0.05,5275008,5275008,True,True,"[1, 24, 456, 482]","[1, 24, 456, 482]",True,True,20,20,True,V0 stable case/action/seed
