uncertainty_variant,score_metric,region,voxel_count,voxel_weighted_mean,global,case
visual_only,variance,TN,27554088,6.248542750654168e-05,,HEP_PA28.nii.gz
visual_only,variance,FP,236908,0.007881161596689635,,HEP_PA28.nii.gz
visual_only,variance,FN,263219,0.0008568722062696318,,HEP_PA28.nii.gz
visual_only,std,TP,257337,0.02768607837730056,,HEP_PA28.nii.gz
visual_only,std,TN,27554088,0.00033258479476993744,,HEP_PA28.nii.gz
visual_only,std,FP,236908,0.04231366562207695,,HEP_PA28.nii.gz
visual_only,std,FN,263219,0.007621886648586686,,HEP_PA28.nii.gz
visual_only,pairwise_abs,TP,257337,0.041522034100185755,,HEP_PA28.nii.gz
visual_only,pairwise_abs,TN,27554088,0.0004906356261051394,,HEP_PA28.nii.gz
visual_only,pairwise_abs,FP,236908,0.06434896985894428,,HEP_PA28.nii.gz
visual_only,pairwise_abs,FN,263219,0.011353777147011869,,HEP_PA28.nii.gz
