level,case,uncertainty_variant,score_metric,scope,num_voxels,positive_voxels,error_prevalence,pr_random_baseline,roc_auc,pr_auc,excluded_both_empty
global,,visual_language,variance,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.3860060158183599,0.4112930024711078,True
global,,visual_language,variance,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.5256026425064767,0.24015230067539417,True
global,,visual_language,variance,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9148417035978301,0.2604558961125508,True
global,,visual_language,std,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9330128768648643,0.22632778310739954,False
global,,visual_language,std,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.38600601568999005,0.4112930006407582,True
global,,visual_language,std,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.525602642499211,0.2401522938679896,True
global,,visual_language,std,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9148417035812573,0.2604558958184561,True
global,,visual_language,pairwise_abs,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9325396984315538,0.22624364321361323,False
global,,visual_language,pairwise_abs,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.3833817789845802,0.4085579756029477,True
global,,visual_language,pairwise_abs,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.5245363467847721,0.23821972355699128,True
global,,visual_language,pairwise_abs,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9147237892043254,0.2620573353785853,True
global,,visual_only,mean_probability,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9400548176727174,0.1967213867245686,False
global,,visual_only,mean_probability,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.20699402585063698,0.31609538381660773,True
global,,visual_only,mean_probability,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.5102497428753157,0.21862615866813695,True
global,,visual_only,mean_probability,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.911887764052048,0.2779275736697824,True
global,,visual_only,variance,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.932966193095986,0.22714378541577546,False
global,,visual_only,variance,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.3898336070265729,0.41307915483256497,True
global,,visual_only,variance,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.5283728384033601,0.240324114949234,True
global,,visual_only,variance,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9149415840014422,0.2602568534190226,True
