split,case,patch_index,patch_kind,gamma_strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA97.nii.gz,0,context,-0.3,0.02880491316318512,0.34033623337745667,0.07905979454517365
train,HEM_PA97.nii.gz,0,context,-0.15,0.006350948940962553,0.1544598788022995,0.08332761377096176
train,HEM_PA97.nii.gz,0,context,0.15,0.004958998877555132,0.013125442899763584,0.007338350173085928
train,HEM_PA97.nii.gz,0,context,0.3,0.017559364438056946,0.20922009646892548,0.1188654899597168
train,HEM_PA97.nii.gz,1,context,-0.3,0.03895781189203262,0.04748133569955826,0.00944008119404316
train,HEM_PA97.nii.gz,1,context,-0.15,0.009173371829092503,0.010276081040501595,0.002046497305855155
train,HEM_PA97.nii.gz,1,context,0.15,0.007986098527908325,0.007346711587160826,0.001628464087843895
train,HEM_PA97.nii.gz,1,context,0.3,0.029458392411470413,0.025233810767531395,0.007648582104593515
train,HEM_PA97.nii.gz,2,foreground,-0.3,0.03944537416100502,0.3754909634590149,0.21248112618923187
train,HEM_PA97.nii.gz,2,foreground,-0.15,0.010000208392739296,0.05330304801464081,0.036042675375938416
train,HEM_PA97.nii.gz,2,foreground,0.15,0.00997169315814972,0.016588561236858368,0.009347781538963318
train,HEM_PA97.nii.gz,2,foreground,0.3,0.039095163345336914,0.04477638751268387,0.02471552975475788
train,HEM_PA97.nii.gz,3,context_fill,-0.3,0.0315803661942482,0.010150816291570663,0.0017659228760749102
train,HEM_PA97.nii.gz,3,context_fill,-0.15,0.006916830316185951,0.0026631804648786783,0.0004722130252048373
train,HEM_PA97.nii.gz,3,context_fill,0.15,0.005435286555439234,0.00273304944857955,0.0007334896363317966
train,HEM_PA97.nii.gz,3,context_fill,0.3,0.019560687243938446,0.00872193742543459,0.002034633420407772
train,CYST_PA69.nii.gz,0,context,-0.3,0.020796943455934525,0.010772030800580978,0.0014754137955605984
train,CYST_PA69.nii.gz,0,context,-0.15,0.004666217602789402,0.0028515374287962914,0.00035801753983832896
train,CYST_PA69.nii.gz,0,context,0.15,0.0037784504238516092,0.0021706956904381514,0.0003146851377096027
train,CYST_PA69.nii.gz,0,context,0.3,0.013613302260637283,0.007677266374230385,0.001370033947750926
train,CYST_PA69.nii.gz,1,context,-0.3,0.01638275943696499,0.005896278657019138,0.001037954119965434
train,CYST_PA69.nii.gz,1,context,-0.15,0.003524686675518751,0.0016122424276545644,0.0002618182043079287
train,CYST_PA69.nii.gz,1,context,0.15,0.0027230894193053246,0.0011884741252288222,0.00022988759155850857
