case,patch_index,patch_kind,action,comparison_group,state_shape,channels,spatial_resolution,normalized_mse_to_real_A,group_delta_norm,true_delta_norm,predicted_delta_norm,magnitude_ratio,delta_cosine_to_true,delta_cosine_valid,group_delta_rms,true_delta_rms
CYST_PA37.nii.gz,3,foreground,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,922.7412109375,922.7412109375,922.7412109375,1.0,0.9999999403953552,True,0.46245214343070984,0.46245214343070984
ICC_PA18.nii.gz,0,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.014940856024622917,0.0,600.0196533203125,0.0,0.0,,False,0.0,0.30071309208869934
ICC_PA18.nii.gz,0,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.014945013448596,19.5705509185791,600.0196533203125,19.5705509185791,0.03261651649288831,0.012042899616062641,True,0.009808213450014591,0.30071309208869934
ICC_PA18.nii.gz,0,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,600.0196533203125,600.0196533203125,600.0196533203125,1.0,0.9999999403953552,True,0.30071309208869934,0.30071309208869934
ICC_PA18.nii.gz,0,context,blur,identity_source,1x288x24x24x24,288,24x24x24,0.054892491549253464,0.0,1093.556640625,0.0,0.0,,False,0.0,0.5480600595474243
ICC_PA18.nii.gz,0,context,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.05181530490517616,396.2391662597656,1093.556640625,396.2391662597656,0.36233986566375126,0.2585258483886719,True,0.19858402013778687,0.5480600595474243
ICC_PA18.nii.gz,0,context,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,1093.556640625,1093.556640625,1093.556640625,1.0,1.0,True,0.5480600595474243,0.5480600595474243
ICC_PA18.nii.gz,1,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.010095017030835152,0.0,258.73565673828125,0.0,0.0,,False,0.0,0.1296710968017578
ICC_PA18.nii.gz,1,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.010107047855854034,14.017589569091797,258.73565673828125,14.017589569091797,0.054177262406746675,0.016090678051114082,True,0.0070252250880002975,0.1296710968017578
ICC_PA18.nii.gz,1,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,258.73565673828125,258.73565673828125,258.73565673828125,1.0,1.0,True,0.1296710968017578,0.1296710968017578
